postUrl,profileUrl,pubDate,headline,description,username
https://www.instagram.com/p/CyZwnFJrgqn/,https://www.instagram.com/ubcgamedev,2023-10-15T02:20:57.000Z,,"On Friday, Oct 20th from 6-7pm in IRC 6 we will have our first industry workshop with David Boguslavsky, the founder of Quiver Games! The workshop will be about building games as a brand and making marketable games. Check out our Discord for more information~",ubcgamedev
https://www.instagram.com/p/Cw_Tfnpv68m/,https://www.instagram.com/ubcgamedev,2023-09-09T23:14:53.000Z,,"Hey everyone! We are back at it this year and starting up our project teams again! If you want to learn more about our club, how to join and what we do come and check out our Launch Party: Where: UBC Gampus, IRC 2 When: 15th, 6pm. No registration required, graduate students or non-ubc students are welcome to attend. For more info, join our Discord at the link in our bio!",ubcgamedev
https://www.instagram.com/p/CqWHUFCPdU2/,https://www.instagram.com/ubcgamedev,2023-03-28T20:11:13.000Z,,"Our 2023 Year End Showcase is almost here! The event is free and open to the public, so if you want to come and check out our games, come on down to the Nest Performance theatre on April 1st! We will start with a presentation at 1pm and finish off by announcing the winners of the showcase at 3:45. Find more info on our website (link in bio) Hope to see you there! #ubc",ubcgamedev
https://www.instagram.com/p/CpZcbCYsA1N/,https://www.instagram.com/ubcgamedev,2023-03-05T06:42:00.000Z,,"?? Our friends at UBC Esports have invited us to UBC gaming expo 2023! After 3 long years, UBC Gaming Expo is finally coming back in person on March 11th in the Great Hall of the AMS Nest, starting at 12PM. Join us for a whole day of inspiring panels, creative vendors, cool cosplaying, exciting show matches, and more?? If you’re interested in anything and everything gaming, UBCEA’s Gaming Expo is the place to be. Don’t miss out on learning from the best, diving into the esports industry, and networking with other gamers and members of the community. If that’s not enough, get a ticket to the afterparty and end the night partying with us and your friends! UBC Gaming Expo is open to UBCEA members, UBC students, and non-students. ?? Who: YOU and your friends who love gaming! ??? Where: Great Hall in the AMS Nest ?? When: Saturday March 11th, 12PM-late ?? Cost: $10 for UBCEA members, $15 for non-members ??? Buy your tickets here: tinyurl.com/ubcgamingexpo2023 ???",ubcgamedev
https://www.instagram.com/p/CkhcCd4oI9l/,https://www.instagram.com/ubcgamedev,2022-11-04T02:35:36.000Z,,"The Chan Centre is thrilled to launch a new conference, Games in Action: interactivity/activation/activism, November 4 - 5. This two-day event will feature game designers, artists, musicians, scholars, and writers, to explore how games act upon us and through us, and how they compel us to take action for ourselves. The conference will examine the social and artistic impacts of video games, much in the same way literature and film are analyzed as influential mediums. Notable speakers include veteran game designer John Romero, designer of Doom, Wolfenstein 3D and Quake, among others. Melos Han-Tani and Marina Kittaka, creators of one of the most highly acclaimed games of the year, Sephonie, and Arthur Protasio, Emmy-nominated director and writer known for his work on the Cobra Kai games, are also panelists. To learn more about the conference, visit Games In Action: Interactivity / Activation \ Activism",ubcgamedev
https://www.instagram.com/p/CkKH9xwIwUx/,https://www.instagram.com/ubcgamedev,2022-10-26T01:17:40.000Z,,"This November 4 - 5, The Chan Centre is welcoming the UBC Symphony Orchestra and UBC A Cappella, which is guest conducted by Lucas Waldin, to perform ""Games in Music: Halo, WoW, LOTR"" each night, celebrating the soundtracks of these new and classic video games. Experience the epic sounds of Michael Giacchino’s Star Trek: Into the Darkness, and relive the frenzy of the tetris theme song. VR immersive artist Juliana Loh will paint the scores of Star Wars and Lord of the Rings live. This concert also premieres the orchestral scores of both Celeste and Glitchhikers: The Spaces Between. A limited number of VIP tickets are on sale which include access to a pop-up arcade. For more information on the concert, please visit Games in Music: Halo, WoW, LOTR - Chan Centre (https://chancentre.com/events/games-in-music-halo-wow-lotr/).",ubcgamedev
https://www.instagram.com/p/Cii91FGJeT3/,https://www.instagram.com/ubcgamedev,2022-09-15T23:47:19.000Z,,"??Welcome to our 2022/23 season! We’re so excited to announce our LAUNCH PARTY for this year! ??Join us for our annual kick-off event where you can learn all about the club, game dev, and hear from two industry professionals WHO: Anyone interested in game development WHEN: TOMORROW, Sept. 16th WHERE: IRC 2 PRICE: Free! ??? Hope to see you guys there!",ubcgamedev
https://www.instagram.com/p/CbwT-iuu7kW/,https://www.instagram.com/ubcgamedev,2022-03-31T04:31:13.000Z,,"After a year of hard work and waiting …. The Year-End Showcase is finally back!?? Join us for an exciting showcase where UBC Game Development’s Project Teams exhibit their games to win the top awards! ?? We welcome everyone who is interested in game dev or gaming to come and connect with the development teams.??Try out their demos ?? , vote for your favorite team ???, and network with professionals across the games industry! ?? For more information, check out our website (link in bio!) WHEN?? : April 2nd, 2022@1pm-4pmPST WHERE??: online, link on website coming soon PRICE??: Free for everyone! #gamedev #gaming #ubcgamedev #showcase #gamedeveloper",ubcgamedev
https://www.instagram.com/p/CYvEhTcLfIc/,https://www.instagram.com/ubcgamedev,2022-01-15T03:22:44.000Z,,TOMORROW IS GAMEON?? A reminder that it is happening on January 15th from 1-6PM PST ?? Register for GameOn through our link in the bio ??,ubcgamedev
https://www.instagram.com/p/CYklD0RpOhM/,https://www.instagram.com/ubcgamedev,2022-01-11T01:35:25.000Z,,Mark your calendar only 5 Days left till GameOn?? GameOn is happening on January 15th from 1-6PM PST ?? Register for the event through our link in the bio. ??,ubcgamedev
